                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7877,                 1.9264,                 2.6584,                0.77235,                0.60525,                0.59058,                0.26727,                 1.9231,                 2.0879,                 2.7634,                0.00062,                0.00062,                0.00062
                      2,                 1.8494,                 1.9229,                 2.7133,                0.69424,                0.56301,                0.52822,                0.13446,                 2.4497,                 2.3405,                 3.1116,              0.0011353,              0.0011353,              0.0011353
                      3,                 1.8022,                 1.8749,                 2.6815,                0.73499,                0.56628,                0.56568,                0.25353,                 2.0764,                 2.5311,                 3.0626,              0.0015238,              0.0015238,              0.0015238
                      4,                 1.8212,                 1.8146,                 2.6658,                0.72921,                0.60556,                0.55833,                0.24788,                 2.0568,                 1.7133,                 3.2133,               0.001406,               0.001406,               0.001406
                      5,                 1.7441,                 1.7344,                 2.6592,                0.72569,                0.61047,                0.58702,                0.25588,                  1.994,                 1.8086,                 2.7008,               0.001406,               0.001406,               0.001406
                      6,                 1.7785,                 1.6947,                 2.6271,                0.77753,                0.64064,                0.62854,                0.28786,                 2.0525,                 1.7107,                 2.8452,               0.001208,               0.001208,               0.001208
                      7,                 1.7453,                 1.7087,                 2.6089,                0.59015,                0.54501,                0.55782,                0.18478,                 2.4483,                 2.0895,                  2.971,                0.00101,                0.00101,                0.00101
                      8,                 1.7188,                 1.6571,                 2.5806,                0.77806,                0.64321,                0.62578,                0.29516,                 1.9001,                 1.7534,                 2.6603,               0.000812,               0.000812,               0.000812
                      9,                 1.7387,                  1.632,                 2.5637,                0.79109,                0.65794,                0.67146,                0.32363,                 1.9244,                 1.6227,                 2.6466,               0.000614,               0.000614,               0.000614
                     10,                  1.718,                 1.5758,                 2.5542,                0.78836,                0.64157,                 0.6304,                0.30319,                 1.9112,                 1.6378,                 2.6428,               0.000416,               0.000416,               0.000416
